key_mlbam,key_retro,key_fangraphs,name_last,name_first
623520,boted002,14593,Bote,David
113536,dozid001,1003471,Dozier,D. J.
502011,claip001,10500,Claiborne,Preston
119577,murrt101,1009400,Murray,Tony
679563,rodrj008,24388,Rodriguez,José
124292,willc101,1013980,Williams,Charlie
115861,herso001,1005741,Hershiser,Orel
116244,hrinw101,1006118,Hriniak,Walt
118849,mcnag102,1008663,McNaughton,Gordon
118965,mercm101,1008777,Mercer,Mark
-1,wildj901,-1,Wildey,John
605513,turns003,16207,Turnbull,Spencer
435359,debuj801,-1,Debus,Jon
122628,squim001,1012371,Squires,Mike
122716,stegd001,1012460,Stegman,Dave
112029,carrl101,1001994,Carr,Lew
120349,pedra001,1010121,Pedrique,Al
122124,shepr101,1011865,Shepardson,Ray
572810,dennr001,9261,Dennick,Ryan
118108,maddf101,1007940,Madden,Frank
110648,bartb101,1000630,Barton,Bob
121191,riddd101,1010945,Riddlemoser,Dorsey
276376,johnn001,828,Johnson,Nick
113372,dillp102,1003306,Dillon,Packy
458668,dankj002,9187,Danks,Jordan
521889,sches901,-1,Scheurwater,Stu
116965,kelsb101,1006820,Kelso,Bill
122615,sprig101,1012359,Spriggs,George
118385,martj102,1008205,Marty,Joe
608385,winkj002,13590,Winker,Jesse
124742,zannd101,1014417,Zanni,Dom
817004,tennu101,-1,Tenny,
448590,melik001,8278,Melillo,Kevin
116871,keagg001,1006726,Keagle,Greg
571431,adamm002,9393,Adams,Matt
408212,grosg002,2184,Gross,Gabe
817743,piccu101,-1,Piccard,
456034,pricd001,3184,Price,David
124747,zaucn101,1014422,Zauchin,Norm
816716,washj101,-1,Washington,Jasper
117918,lopeh101,1007755,López,Héctor
113145,daviw103,1003087,Davis,Wiley
115263,gutir001,387,Gutiérrez,Ricky
457870,ellir801,-1,Ellis,Ryan
113097,davib106,1003034,Davis,Bill
218595,woodc001,1329,Woodward,Chris
115726,helft101,1005612,Helfrich,Ty
119551,murpd002,1009359,Murphy,Dwayne
667725,tylek001,22092,Tyler,Kyle
501169,maveb701,-1,Maver,Bob
115542,harrb114,1005401,Harrison,Bob
655676,trayk701,-1,Traynor,Kyle
817083,stinu101,-1,Stinson,
